interval,event_type,count
0,Battles,216
0,Explosions/Remote violence,538
0,Protests,66
0,Riots,9
0,Strategic developments,357
0,Violence against civilians,246
1,Battles,181
1,Explosions/Remote violence,556
1,Protests,75
1,Riots,1
1,Strategic developments,184
1,Violence against civilians,337
2,Battles,193
2,Explosions/Remote violence,400
2,Protests,142
2,Riots,3
2,Strategic developments,196
2,Violence against civilians,239
3,Battles,136
3,Explosions/Remote violence,255
3,Protests,47
3,Riots,6
3,Strategic developments,208
3,Violence against civilians,344
4,Battles,96
4,Explosions/Remote violence,152
4,Protests,58
4,Riots,6
4,Strategic developments,255
4,Violence against civilians,267
5,Battles,95
5,Explosions/Remote violence,129
5,Protests,35
5,Riots,4
5,Strategic developments,212
5,Violence against civilians,240
6,Battles,74
6,Explosions/Remote violence,91
6,Protests,59
6,Riots,1
6,Strategic developments,337
6,Violence against civilians,213
7,Battles,196
7,Explosions/Remote violence,113
7,Protests,103
7,Riots,6
7,Strategic developments,169
7,Violence against civilians,201
8,Battles,119
8,Explosions/Remote violence,125
8,Protests,67
8,Strategic developments,204
8,Violence against civilians,216
9,Battles,111
9,Explosions/Remote violence,102
9,Protests,67
9,Riots,4
9,Strategic developments,226
9,Violence against civilians,229
10,Battles,97
10,Explosions/Remote violence,113
10,Protests,83
10,Riots,7
10,Strategic developments,226
10,Violence against civilians,187
11,Battles,114
11,Explosions/Remote violence,90
11,Protests,124
11,Riots,6
11,Strategic developments,334
11,Violence against civilians,147
12,Battles,116
12,Explosions/Remote violence,119
12,Protests,52
12,Riots,10
12,Strategic developments,323
12,Violence against civilians,135
13,Battles,254
13,Explosions/Remote violence,280
13,Protests,40
13,Riots,1
13,Strategic developments,425
13,Violence against civilians,138
14,Battles,75
14,Explosions/Remote violence,125
14,Protests,115
14,Riots,5
14,Strategic developments,298
14,Violence against civilians,100
15,Battles,67
15,Explosions/Remote violence,154
15,Protests,128
15,Riots,15
15,Strategic developments,352
15,Violence against civilians,106
16,Battles,53
16,Explosions/Remote violence,107
16,Protests,139
16,Riots,2
16,Strategic developments,311
16,Violence against civilians,78
17,Battles,41
17,Explosions/Remote violence,89
17,Protests,155
17,Riots,8
17,Strategic developments,278
17,Violence against civilians,66
18,Battles,60
18,Explosions/Remote violence,75
18,Protests,171
18,Riots,22
18,Strategic developments,298
18,Violence against civilians,90
19,Battles,35
19,Explosions/Remote violence,51
19,Protests,60
19,Riots,1
19,Strategic developments,128
19,Violence against civilians,49
