interval,event count,interval start,interval end
0,1475,2024-12-08,2025-01-07
1,1370,2025-01-08,2025-02-07
2,1285,2025-02-08,2025-03-10
3,909,2025-03-11,2025-04-10
4,820,2025-04-11,2025-05-11
5,758,2025-05-12,2025-06-11
6,798,2025-06-12,2025-07-12
7,809,2025-07-13,2025-08-12
8,746,2025-08-13,2025-09-12
9,795,2025-09-13,2025-10-13
10,747,2025-10-14,2025-11-13
11,813,2025-11-14,2025-12-14
12,924,2025-12-15,2026-01-14
13,1079,2026-01-15,2026-02-14
14,723,2026-02-15,2026-03-17
15,839,2026-03-18,2026-04-17
16,650,2026-04-18,2026-05-18
17,743,2026-05-19,2026-06-18
18,562,2026-06-19,2026-07-19
